Meeting_ID,Committee_Name,Meeting_Date,Meeting_Time,Entry_ID,Zip_Code,Registration_Time,Agenda_Item,Agenda_Item_Title,Support,Speaking,OBJECTID
,Common Council,5/19/2020,,86506,53559,5/19/2020 19:18,4,,Support,"No, I do not want to speak.",22
,Planning commission,5/18/2020,,85850,11577,5/15/2020 19:50,4,,Support,"I do not want to speak, but I am available to answer questions.",23
,Planning Committee,5/18/2020,,86027,60657,5/18/2020 0:31,4,,Support,"I do not want to speak, but I am available to answer questions.",24
,Planning Committee,5/18/2020,,86091,60657,5/18/2020 11:30,4,,Support,"Yes, I want to speak.",25
,Natacha Brandt,5/27/2020,,89140,53716,5/27/2020 12:47,11,,Oppose,"No, I do not want to speak.",26
,Finance committee ,6/9/2020,,92430,53716,6/9/2020 15:48,16,,Support,"No, I do not want to speak.",27
,Finance committee,6/9/2020,,92434,53716,6/9/2020 15:50,17,,Oppose,"No, I do not want to speak.",28
,Finance Committee,6/9/2020,,92381,53715,6/9/2020 15:34,17,,Oppose,"No, I do not want to speak.",29
,Finance Committee,6/9/2020,,92506,53703,6/9/2020 16:19,17,,Oppose,"No, I do not want to speak.",30
,Finance Committee,6/9/2020,,92538,53711,6/9/2020 16:33,17,,Oppose,"No, I do not want to speak.",31
,FINANCE COMMITTEE,6/9/2020,,92547,53719,6/9/2020 16:45,17,,Oppose,"No, I do not want to speak.",32
,Finance,6/9/2020,,92578,53711,6/9/2020 17:41,17,,Support,"No, I do not want to speak.",33
,Finance,6/9/2020,,92579,53711,6/9/2020 17:41,18,,Support,"No, I do not want to speak.",34
,Finance Committee,6/9/2020,,92382,53715,6/9/2020 15:34,18,,Oppose,"No, I do not want to speak.",35
,Finance committee ,6/9/2020,,92446,53716,6/9/2020 15:51,18,,Oppose,"No, I do not want to speak.",36
,Common Council,6/2/2020,,90232,53715,6/2/2020 15:08,134,,Support,"No, I do not want to speak.",37
,Common Council,6/2/2020,,90239,53703,6/2/2020 15:11,134,,Support,"No, I do not want to speak.",38
,Common Council,6/2/2020,,90243,53703,6/2/2020 15:12,134,,Support,"No, I do not want to speak.",39
,Common Council,6/2/2020,,90267,53703,6/2/2020 15:32,134,,Support,"No, I do not want to speak.",40
,Common Council,6/2/2020,,90323,53711,6/2/2020 16:04,134,,Support,"No, I do not want to speak.",41
,Common Council,6/2/2020,,90339,53703,6/2/2020 16:10,134,,Support,"No, I do not want to speak.",42
,Common Council,6/2/2020,,90349,53703,6/2/2020 16:12,134,,Support,"No, I do not want to speak.",43
,Common Council,6/2/2020,,90558,53714,6/2/2020 17:31,134,,Support,"No, I do not want to speak.",44
,Common Council,6/2/2020,,90579,53719,6/2/2020 17:37,134,,Support,"No, I do not want to speak.",45
,Common Council,6/2/2020,,90656,53703,6/2/2020 18:11,134,,Support,"No, I do not want to speak.",46
,Common Council ,6/2/2020,,90675,53704,6/2/2020 18:18,134,,Support,"No, I do not want to speak.",47
,Common Council,6/2/2020,,90686,53704,6/2/2020 18:22,134,,Support,"No, I do not want to speak.",48
,Common Council,6/2/2020,,90738,53711,6/2/2020 19:12,134,,Support,"No, I do not want to speak.",49
,Common Council,6/2/2020,,90751,53715,6/2/2020 19:29,134,,Support,"No, I do not want to speak.",50
,Common Council,6/2/2020,,91049,53703,6/3/2020 21:56,134,,Support,"No, I do not want to speak.",51
,Common Council,6/2/2020,,90930,53703,6/3/2020 12:05,134,,Support,"No, I do not want to speak.",52
,Common Council,6/2/2020,,90946,53715,6/3/2020 13:47,134,,Support,"No, I do not want to speak.",53
,Common Council,6/2/2020,,90763,53704,6/2/2020 19:43,60658,,Oppose,"I do not want to speak, but I am available to answer questions.",54
,Common Counsel,6/2/2020,,90200,53704,6/2/2020 14:52,60658,,Oppose,"No, I do not want to speak.",55
,The Common Council,6/2/2020,,90244,53703,6/2/2020 15:13,60753,,Support,"No, I do not want to speak.",56
,Common Counsel,6/2/2020,,90201,53704,6/2/2020 14:53,60762,,Oppose,"No, I do not want to speak.",57
,Common Council,6/2/2020,,90766,53704,6/2/2020 19:44,60762,,Oppose,"I do not want to speak, but I am available to answer questions.",58
,Common Council,6/2/2020,,90631,53717,6/2/2020 17:59,60762,,Oppose,"No, I do not want to speak.",59
,Common Council,6/2/2020,,90585,53703,6/2/2020 17:39,60762,,Oppose,"No, I do not want to speak.",60
,Common council ,6/2/2020,,90654,53704,6/2/2020 18:09,60764,,Support,"No, I do not want to speak.",61
,Common Council,6/2/2020,,90650,53719,6/2/2020 18:06,60764,,Support,"No, I do not want to speak.",62
,Common Council,6/2/2020,,90628,53717,6/2/2020 17:58,60764,,Support,"No, I do not want to speak.",63
,Common Council,6/2/2020,,90576,53703,6/2/2020 17:37,60764,,Support,"No, I do not want to speak.",64
,Common council ,6/2/2020,,90385,53704,6/2/2020 16:32,60764,,Support,"No, I do not want to speak.",65
,MPD Civilian Oversight Committee,6/2/2020,,90400,53703,6/2/2020 16:40,60764,,Support,"No, I do not want to speak.",66
,Common Council,6/2/2020,,90459,53704,6/2/2020 16:52,60764,,Support,"No, I do not want to speak.",67
,Common Council,6/2/2020,,90480,53711,6/2/2020 17:01,60764,,Support,"No, I do not want to speak.",68
,Common Council,6/2/2020,,90730,53719,6/2/2020 18:58,60764,,Support,"No, I do not want to speak.",69
,Madison Common Council,6/2/2020,,90134,53703,6/2/2020 13:55,60764,,Support,"No, I do not want to speak.",70
,Common Council,6/2/2020,,90275,53703,6/2/2020 15:41,60764,,Support,"No, I do not want to speak.",71
,Common Council,6/2/2020,,90276,53703,6/2/2020 15:41,60764,,Support,"No, I do not want to speak.",72
,Common Council,6/2/2020,,90294,53715,6/2/2020 15:49,60764,,Support,"No, I do not want to speak.",73
,City of Madison Common Council,6/2/2020,,90305,53717,6/2/2020 15:57,60764,,Support,"No, I do not want to speak.",74
,City Common Council,6/2/2020,,90310,53713,6/2/2020 16:00,60764,,Support,"I do not want to speak, but I am available to answer questions.",75
,COMMON COUNCIL,6/2/2020,,90074,53593,6/2/2020 13:10,60764,,Support,"I do not want to speak, but I am available to answer questions.",76
,MPD Civilian Oversight Committee,6/2/2020,,90109,53704,6/2/2020 13:37,60764,,Support,"No, I do not want to speak.",77
,Public Safety Review Committee,6/10/2020,,93747,53703,6/10/2020 16:40,60777,,Oppose,"No, I do not want to speak.",78
,Public Safety Review,6/10/2020,,93757,53703,6/10/2020 16:43,60778,,Oppose,"No, I do not want to speak.",79
43391,Common Council,3/31/2020,06:30:00,76197,52716,3/30/2020 15:10,1,"Commerating the 50th anniversary of Earth Day on April 22, 2020.",Support,"No, I do not want to speak.",80
43391,Common Council,3/31/2020,06:30:00,76353,53719,3/31/2020 7:38,1,"Commerating the 50th anniversary of Earth Day on April 22, 2020.",Neither support nor oppose,"No, I do not want to speak.",81
43391,Common Council,3/31/2020,06:30:00,76392,53704,3/31/2020 9:39,9,"THIRD SUBSTITUTE Creating Section 9.29, amending Section 28.151, amending and creating portions of Section 28.211 of the Madison General Ordinances to create an annual permit for tourist rooming houses, to amend the supplemental zoning regulations applicable to tourist rooming houses, amend the definition of Tourist Rooming House and Bedroom, and create a definition for Primary Residence.",Oppose,"No, I do not want to speak.",82
43391,Common Council,3/31/2020,06:30:00,75052,53703,3/27/2020 23:57,9,"THIRD SUBSTITUTE Creating Section 9.29, amending Section 28.151, amending and creating portions of Section 28.211 of the Madison General Ordinances to create an annual permit for tourist rooming houses, to amend the supplemental zoning regulations applicable to tourist rooming houses, amend the definition of Tourist Rooming House and Bedroom, and create a definition for Primary Residence.",Oppose,"Yes, I want to speak.",83
43391,Common Council,3/31/2020,06:30:00,75174,53705,3/28/2020 15:39,9,"THIRD SUBSTITUTE Creating Section 9.29, amending Section 28.151, amending and creating portions of Section 28.211 of the Madison General Ordinances to create an annual permit for tourist rooming houses, to amend the supplemental zoning regulations applicable to tourist rooming houses, amend the definition of Tourist Rooming House and Bedroom, and create a definition for Primary Residence.",Oppose,"Yes, I want to speak.",84
43391,Common Council,3/31/2020,06:30:00,76592,53711,3/31/2020 11:06,9,"THIRD SUBSTITUTE Creating Section 9.29, amending Section 28.151, amending and creating portions of Section 28.211 of the Madison General Ordinances to create an annual permit for tourist rooming houses, to amend the supplemental zoning regulations applicable to tourist rooming houses, amend the definition of Tourist Rooming House and Bedroom, and create a definition for Primary Residence.",Support,"I do not want to speak, but I am available to answer questions.",85
43391,Common Council,3/31/2020,06:30:00,76754,53711,3/31/2020 13:47,9,"THIRD SUBSTITUTE Creating Section 9.29, amending Section 28.151, amending and creating portions of Section 28.211 of the Madison General Ordinances to create an annual permit for tourist rooming houses, to amend the supplemental zoning regulations applicable to tourist rooming houses, amend the definition of Tourist Rooming House and Bedroom, and create a definition for Primary Residence.",Support,"No, I do not want to speak.",86
43391,Common Council,3/31/2020,06:30:00,76750,53711,3/31/2020 13:43,9,"THIRD SUBSTITUTE Creating Section 9.29, amending Section 28.151, amending and creating portions of Section 28.211 of the Madison General Ordinances to create an annual permit for tourist rooming houses, to amend the supplemental zoning regulations applicable to tourist rooming houses, amend the definition of Tourist Rooming House and Bedroom, and create a definition for Primary Residence.",Support,"No, I do not want to speak.",87
43391,Common Council,3/31/2020,06:30:00,76814,53714,3/31/2020 14:46,9,"THIRD SUBSTITUTE Creating Section 9.29, amending Section 28.151, amending and creating portions of Section 28.211 of the Madison General Ordinances to create an annual permit for tourist rooming houses, to amend the supplemental zoning regulations applicable to tourist rooming houses, amend the definition of Tourist Rooming House and Bedroom, and create a definition for Primary Residence.",Support,"No, I do not want to speak.",88
43391,Common Council,3/31/2020,06:30:00,76882,53711,3/31/2020 16:06,9,"THIRD SUBSTITUTE Creating Section 9.29, amending Section 28.151, amending and creating portions of Section 28.211 of the Madison General Ordinances to create an annual permit for tourist rooming houses, to amend the supplemental zoning regulations applicable to tourist rooming houses, amend the definition of Tourist Rooming House and Bedroom, and create a definition for Primary Residence.",Support,"No, I do not want to speak.",89
43391,Common Council,3/31/2020,06:30:00,76956,53711,3/31/2020 17:16,9,"THIRD SUBSTITUTE Creating Section 9.29, amending Section 28.151, amending and creating portions of Section 28.211 of the Madison General Ordinances to create an annual permit for tourist rooming houses, to amend the supplemental zoning regulations applicable to tourist rooming houses, amend the definition of Tourist Rooming House and Bedroom, and create a definition for Primary Residence.",Oppose,"Yes, I want to speak.",90
43391,Common Council,3/31/2020,06:30:00,76897,53715,3/31/2020 16:27,9,"THIRD SUBSTITUTE Creating Section 9.29, amending Section 28.151, amending and creating portions of Section 28.211 of the Madison General Ordinances to create an annual permit for tourist rooming houses, to amend the supplemental zoning regulations applicable to tourist rooming houses, amend the definition of Tourist Rooming House and Bedroom, and create a definition for Primary Residence.",Support,"No, I do not want to speak.",91
43391,Common Council,3/31/2020,06:30:00,76981,53703,3/31/2020 17:32,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"Yes, I want to speak.",92
43391,Common Council,3/31/2020,06:30:00,77078,53704,3/31/2020 18:36,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Oppose,"No, I do not want to speak.",93
43391,Common Council,3/31/2020,06:30:00,77151,53714,3/31/2020 19:23,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Oppose,"Yes, I want to speak.",94
43391,Common Council,3/31/2020,06:30:00,76857,53704,3/31/2020 15:31,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Oppose,"No, I do not want to speak.",95
43391,Common Council,3/31/2020,06:30:00,76815,53718,3/31/2020 14:47,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"No, I do not want to speak.",96
43391,Common Council,3/31/2020,06:30:00,76820,53718,3/31/2020 14:50,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"No, I do not want to speak.",97
43391,Common Council,3/31/2020,06:30:00,76809,53718,3/31/2020 14:43,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Oppose,"No, I do not want to speak.",98
43391,Common Council,3/31/2020,06:30:00,76781,53718,3/31/2020 14:17,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"No, I do not want to speak.",99
43391,Common Council,3/31/2020,06:30:00,76782,53718,3/31/2020 14:18,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"No, I do not want to speak.",100
43391,Common Council,3/31/2020,06:30:00,76742,53713,3/31/2020 13:27,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"Yes, I want to speak.",101
43391,Common Council,3/31/2020,06:30:00,76586,53713,3/31/2020 11:00,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"Yes, I want to speak.",102
43391,Common Council,3/31/2020,06:30:00,76391,53704,3/31/2020 9:37,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"No, I do not want to speak.",103
43391,Common Council,3/31/2020,06:30:00,76618,53714,3/31/2020 11:27,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"No, I do not want to speak.",104
43391,Common Council,3/31/2020,06:30:00,76626,53714,3/31/2020 11:32,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Oppose,"No, I do not want to speak.",105
43391,Common Council,3/31/2020,06:30:00,76627,53714,3/31/2020 11:32,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"No, I do not want to speak.",106
43391,Common Council,3/31/2020,06:30:00,76628,53714,3/31/2020 11:32,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"No, I do not want to speak.",107
43391,Common Council,3/31/2020,06:30:00,75113,53703,3/28/2020 10:27,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"Yes, I want to speak.",108
43391,Common Council,3/31/2020,06:30:00,76053,98109,3/30/2020 10:29,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"Yes, I want to speak.",109
43391,Common Council,3/31/2020,06:30:00,76252,53718,3/30/2020 17:08,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"Yes, I want to speak.",110
43391,Common Council,3/31/2020,06:30:00,76452,53703,3/31/2020 10:05,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Support,"I do not want to speak, but I am available to answer questions.",111
43391,Common Council,3/31/2020,06:30:00,76308,53714,3/30/2020 20:53,10,"Appeal of Plan Commission action concerning 3630 Milwaukee Street, Legistar File 58787.",Oppose,"No, I do not want to speak.",112
43391,Common Council,3/31/2020,06:30:00,76934,53715,3/31/2020 17:05,18,Declaring that a state of emergency is hereby in existence for the City of Madison pursuant to Wis. Stats. � 323.11 and Madison General Ordinances Section 3.19.,Neither support nor oppose,"Yes, I want to speak.",113
43391,Common Council,3/31/2020,06:30:00,75566,53221,3/29/2020 11:25,74,D. Leigh - property damage - $191.31.,Support,"No, I do not want to speak.",114
43391,Common Council,3/31/2020,06:30:00,75400,53718,3/29/2020 2:45,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Support,"Yes, I want to speak.",115
43391,Common Council,3/31/2020,06:30:00,76299,53714,3/30/2020 20:23,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Oppose,"No, I do not want to speak.",116
43391,Common Council,3/31/2020,06:30:00,76490,53718,3/31/2020 10:21,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Oppose,"No, I do not want to speak.",117
43391,Common Council,3/31/2020,06:30:00,76382,53703,3/31/2020 9:07,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Oppose,"No, I do not want to speak.",118
43391,Common Council,3/31/2020,06:30:00,76913,53960,3/31/2020 16:52,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Oppose,"No, I do not want to speak.",119
43391,Common Council,3/31/2020,06:30:00,76822,53718,3/31/2020 14:50,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Oppose,"No, I do not want to speak.",120
43391,Common Council,3/31/2020,06:30:00,76785,53718,3/31/2020 14:19,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Oppose,"No, I do not want to speak.",121
43391,Common Council,3/31/2020,06:30:00,76787,53718,3/31/2020 14:20,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Oppose,"No, I do not want to speak.",122
43391,Common Council,3/31/2020,06:30:00,76817,53718,3/31/2020 14:48,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Oppose,"No, I do not want to speak.",123
43391,Common Council,3/31/2020,06:30:00,76622,53714,3/31/2020 11:31,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Oppose,"No, I do not want to speak.",124
43391,Common Council,3/31/2020,06:30:00,76633,53590,3/31/2020 11:35,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Oppose,"No, I do not want to speak.",125
43391,Common Council,3/31/2020,06:30:00,76620,53714,3/31/2020 11:28,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Oppose,"No, I do not want to speak.",126
43391,Common Council,3/31/2020,06:30:00,76444,53714,3/31/2020 10:01,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Oppose,"No, I do not want to speak.",127
43391,Common Council,3/31/2020,06:30:00,77190,53713,3/31/2020 21:09,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Oppose,"I do not want to speak, but I am available to answer questions.",128
43391,Common Council,3/31/2020,06:30:00,77187,53704,3/31/2020 20:51,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Oppose,"No, I do not want to speak.",129
43391,Common Council,3/31/2020,06:30:00,77082,53706,3/31/2020 18:38,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Support,"No, I do not want to speak.",130
43391,Common Council,3/31/2020,06:30:00,76992,53704,3/31/2020 17:43,75,"SUBSTITUTE - Amending the 2020 Adopted Operating Budget to appropriate $40,000 $50,000 from private donation to create Madison�s LGBTQ+ Rainbow Murals and Crossings Art Pilot Program (�RMCAPP�) authorizing the Mayor and City Clerk to enter into a contract between the City of Madison and a vendor to install decorative rainbow markings at specific pedestrian and roadway locations.",Support,"No, I do not want to speak.",131
43391,Common Council,3/31/2020,06:30:00,76994,53704,3/31/2020 17:45,77,Responding to the Final Environmental Impact Statement (EIS) for the Air National Guard F-35A Operational Beddown.,Support,"No, I do not want to speak.",132
43391,Common Council,3/31/2020,06:30:00,76995,61063,3/31/2020 17:45,77,Responding to the Final Environmental Impact Statement (EIS) for the Air National Guard F-35A Operational Beddown.,Oppose,"Yes, I want to speak.",133
43391,Common Council,3/31/2020,06:30:00,77002,53916,3/31/2020 17:53,77,Responding to the Final Environmental Impact Statement (EIS) for the Air National Guard F-35A Operational Beddown.,Oppose,"I do not want to speak, but I am available to answer questions.",134
43391,Common Council,3/31/2020,06:30:00,77003,53704,3/31/2020 17:53,77,Responding to the Final Environmental Impact Statement (EIS) for the Air National Guard F-35A Operational Beddown.,Support,"No, I do not want to speak.",135
43391,Common Council,3/31/2020,06:30:00,77004,53704,3/31/2020 17:54,77,Responding to the Final Environmental Impact Statement (EIS) for the Air National Guard F-35A Operational Beddown.,Oppose,"No, I do not want to speak.",136
43391,Common Council,3/31/2020,06:30:00,77005,53536,3/31/2020 17:55,77,Responding to the Final Environmental Impact Statement (EIS) for the Air National Guard F-35A Operational Beddown.,Oppose,"Yes, I want to speak.",137
43391,Common Council,3/31/2020,06:30:00,77007,53804,3/31/2020 17:59,77,Responding to the Final Environmental Impact Statement (EIS) for the Air National Guard F-35A Operational Beddown.,Oppose,"No, I do not want to speak.",138
43391,Common Council,3/31/2020,06:30:00,77008,53590,3/31/2020 18:00,77,Responding to the Final Environmental Impact Statement (EIS) for the Air National Guard F-35A Operational Beddown.,Oppose,"No, I do not want to speak.",139
43391,Common Council,3/31/2020,06:30:00,77009,53705,3/31/2020 18:01,77,Responding to the Final Environmental Impact Statement (EIS) for the Air National Guard F-35A Operational Beddown.,Support,"No, I do not want to speak.",140
43391,Common Council,3/31/2020,06:30:00,77010,53590,3/31/2020 18:01,77,Responding to the Final Environmental Impact Statement (EIS) for the Air National Guard F-35A Operational Beddown.,Oppose,"Yes, I want to speak.",141
43391,Common Council,3/31/2020,06:30:00,77012,53704,3/31/2020 18:02,77,Responding to the Final Environmental Impact Statement (EIS) for the Air National Guard F-35A Operational Beddown.,Support,"No, I do not want to speak.",142
43391,Common Council,3/31/2020,06:30:00,77013,53590,3/31/2020 18:02,77,Responding to the Final Environmental Impact Statement (EIS) for the Air National Guard F-35A Operational Beddown.,Oppose,"I do not want to speak, but I am available to answer questions.",143
43391,Common Council,3/31/2020,06:30:00,77015,53566,3/31/2020 18:04,77,Responding to the Final Environmental Impact Statement (EIS) for the Air National Guard F-35A Operational Beddown.,Oppose,"No, I do not want to speak.",144
